2026-01-29 09:44:34.047 UTC,,,1,,697b2c01.1,1,,2026-01-29 09:44:33 UTC,,0,LOG,00000,"starting PostgreSQL 17.7 (Debian 17.7-3.pgdg13+1) on x86_64-pc-linux-gnu, compiled by gcc (Debian 14.2.0-19) 14.2.0, 64-bit",,,,,,,,,"","postmaster",,0
2026-01-29 09:44:34.050 UTC,,,1,,697b2c01.1,2,,2026-01-29 09:44:33 UTC,,0,LOG,00000,"listening on IPv4 address ""0.0.0.0"", port 5432",,,,,,,,,"","postmaster",,0
2026-01-29 09:44:34.050 UTC,,,1,,697b2c01.1,3,,2026-01-29 09:44:33 UTC,,0,LOG,00000,"listening on IPv6 address ""::"", port 5432",,,,,,,,,"","postmaster",,0
2026-01-29 09:44:34.070 UTC,,,1,,697b2c01.1,4,,2026-01-29 09:44:33 UTC,,0,LOG,00000,"listening on Unix socket ""/var/run/postgresql/.s.PGSQL.5432""",,,,,,,,,"","postmaster",,0
2026-01-29 09:44:34.133 UTC,,,31,,697b2c02.1f,1,,2026-01-29 09:44:34 UTC,,0,LOG,00000,"database system was interrupted; last known up at 2026-01-29 08:31:58 UTC",,,,,,,,,"","startup",,0
2026-01-29 09:44:40.704 UTC,,,31,,697b2c02.1f,2,,2026-01-29 09:44:34 UTC,,0,LOG,00000,"database system was not properly shut down; automatic recovery in progress",,,,,,,,,"","startup",,0
2026-01-29 09:44:40.810 UTC,,,31,,697b2c02.1f,3,,2026-01-29 09:44:34 UTC,,0,LOG,00000,"redo starts at 0/20825B0",,,,,,,,,"","startup",,0
2026-01-29 09:44:40.812 UTC,,,31,,697b2c02.1f,4,,2026-01-29 09:44:34 UTC,,0,LOG,00000,"invalid record length at 0/20826B8: expected at least 24, got 0",,,,,,,,,"","startup",,0
2026-01-29 09:44:40.812 UTC,,,31,,697b2c02.1f,5,,2026-01-29 09:44:34 UTC,,0,LOG,00000,"redo done at 0/2082680 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s",,,,,,,,,"","startup",,0
2026-01-29 09:44:40.968 UTC,,,29,,697b2c02.1d,1,,2026-01-29 09:44:34 UTC,,0,LOG,00000,"checkpoint starting: end-of-recovery immediate wait",,,,,,,,,"","checkpointer",,0
